block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
0,2004-06-30,0.003,7,dtr,dtr,0.2704896926879883,0.0,0.0,0.0,332
1,2004-07-14,0.003,7,dtr,dtr,0.36051154136657715,0.589765727519989,0.04546589031815529,0.015814110254962085,213
2,2004-07-31,0.003,7,dtr,dtr,0.5582486391067505,2.501310348510742,0.03455304354429245,0.21618296412560972,195
3,2004-08-11,0.003,7,dtr,dtr,0.44528740644454956,1.4069782495498657,0.008177108131349087,0.016187303452813145,220
4,2004-08-25,0.003,7,dtr,dtr,0.2710135579109192,1.578414797782898,0.121304452419281,0.3022170968466703,166
5,2004-09-08,0.003,7,dtr,dtr,0.3760019838809967,1.030644178390503,0.10492123663425446,0.11145021475029526,237
6,2004-09-22,0.003,7,dtr,dtr,0.1808098554611206,1.0603092908859253,0.033878471702337265,0.03808806804694604,201
7,2004-10-07,0.003,7,dtr,dtr,0.18215404450893402,2.3673222064971924,0.011295067146420479,0.06329997828272617,116
8,2004-10-20,0.003,7,dtr,dtr,0.2918124496936798,0.7426848411560059,0.17213113605976105,0.09494422513391079,322
9,2004-11-03,0.003,7,dtr,dtr,0.15854214131832123,4.305335521697998,0.035012487322092056,0.6489884523316293,305
10,2004-11-17,0.003,7,dtr,dtr,0.8403335213661194,1.8594954013824463,0.2423275262117386,0.837901496722344,328
11,2004-12-01,0.003,7,dtr,dtr,0.2508932054042816,1.149946928024292,0.2462843656539917,0.3256810114359932,307
12,2004-12-17,0.003,7,dtr,dtr,0.621545672416687,1.5976122617721558,0.007689397316426039,0.019626148112215407,237
13,2005-01-01,0.003,7,dtr,dtr,0.3112759292125702,1.4250354766845703,0.05491679534316063,0.11152097017042767,224
14,2005-01-12,0.003,7,dtr,dtr,0.888835608959198,1.3407779932022095,0.009638323448598385,0.017326675532455815,279
15,2005-01-26,0.003,7,dtr,dtr,0.1944684088230133,2.018606662750244,0.08589904755353928,0.3500191075764946,296
16,2005-02-11,0.003,7,dtr,dtr,0.20119595527648926,1.3082793951034546,0.04891682043671608,0.08372578408436708,281
17,2005-02-23,0.003,7,dtr,dtr,0.24562206864356995,0.8407312631607056,0.06229940429329872,0.04403502917931024,331
18,2005-03-09,0.003,7,dtr,dtr,0.42466527223587036,2.808095932006836,0.04678995907306671,0.36895767257194995,320
19,2005-03-23,0.003,7,dtr,dtr,0.1671099066734314,1.157148838043213,0.15708626806735992,0.2103374814171127,281
0,2004-06-30,0.003,8,dtr,dtr,0.42376312613487244,0.0,0.0,0.0,332
1,2004-07-14,0.003,8,dtr,dtr,0.5273353457450867,0.589765727519989,0.06325782835483551,0.022002566431507286,213
2,2004-07-31,0.003,8,dtr,dtr,0.8061057925224304,2.501310348510742,0.030344417318701744,0.18985146915386608,195
3,2004-08-11,0.003,8,dtr,dtr,0.5692744255065918,1.4069782495498657,0.00473520252853632,0.009373749130953402,220
4,2004-08-25,0.003,8,dtr,dtr,0.4734807312488556,1.578414797782898,0.12535543739795685,0.31230969357505134,166
5,2004-09-08,0.003,8,dtr,dtr,0.5112240314483643,1.030644178390503,0.1741483360528946,0.18498513812946352,237
6,2004-09-22,0.003,8,dtr,dtr,0.22519327700138092,1.0603092908859253,0.04631857946515083,0.05207393125661072,201
7,2004-10-07,0.003,8,dtr,dtr,0.16628624498844147,2.3673222064971924,0.006380304228514433,0.03575659302124123,116
8,2004-10-20,0.003,8,dtr,dtr,0.28315573930740356,0.7426848411560059,0.18404850363731384,0.10151761595783419,322
9,2004-11-03,0.003,8,dtr,dtr,0.2303532361984253,4.305335521697998,0.029676390811800957,0.5500790265645282,305
10,2004-11-17,0.003,8,dtr,dtr,0.8471406102180481,1.8594954013824463,0.23137566447257996,0.8000329908757611,328
11,2004-12-01,0.003,8,dtr,dtr,0.3112693428993225,1.149946928024292,0.19783495366573334,0.2616125779488943,307
12,2004-12-17,0.003,8,dtr,dtr,0.8839964866638184,1.5976122617721558,0.01232347171753645,0.03145399713816366,237
13,2005-01-01,0.003,8,dtr,dtr,0.202855184674263,1.4250354766845703,0.029072359204292297,0.05903799890992041,224
14,2005-01-12,0.003,8,dtr,dtr,0.7499496936798096,1.3407779932022095,0.007866492494940758,0.014141480493493733,279
15,2005-01-26,0.003,8,dtr,dtr,0.2584811747074127,2.018606662750244,0.09358572214841843,0.3813405605909019,296
16,2005-02-11,0.003,8,dtr,dtr,0.175842747092247,1.3082793951034546,0.05598926916718483,0.0958309517969956,281
17,2005-02-23,0.003,8,dtr,dtr,0.30980533361434937,0.8407312631607056,0.06612049043178558,0.04673588389074166,331
18,2005-03-09,0.003,8,dtr,dtr,0.4089566171169281,2.808095932006836,0.03008546493947506,0.23723600837050668,320
19,2005-03-23,0.003,8,dtr,dtr,0.12715069949626923,1.157148838043213,0.10663802921772003,0.14278762087161906,281
0,2004-06-30,0.003,9,dtr,dtr,0.3061094284057617,0.0,0.0,0.0,332
1,2004-07-14,0.003,9,dtr,dtr,0.3742227256298065,0.589765727519989,0.052268072962760925,0.01818007000112433,213
2,2004-07-31,0.003,9,dtr,dtr,0.7086683511734009,2.501310348510742,0.05458686128258705,0.34152561580447016,195
3,2004-08-11,0.003,9,dtr,dtr,0.5446205139160156,1.4069782495498657,0.007727573160082102,0.015297409510399327,220
4,2004-08-25,0.003,9,dtr,dtr,0.3678850829601288,1.578414797782898,0.11202441900968552,0.2790968840288078,166
5,2004-09-08,0.003,9,dtr,dtr,0.35474979877471924,1.030644178390503,0.17892010509967804,0.1900538420645561,237
6,2004-09-22,0.003,9,dtr,dtr,0.18627779185771942,1.0603092908859253,0.041057173162698746,0.046158764745229966,201
7,2004-10-07,0.003,9,dtr,dtr,0.16070057451725006,2.3673222064971924,0.008574037812650204,0.048050746427658865,116
8,2004-10-20,0.003,9,dtr,dtr,0.2512136995792389,0.7426848411560059,0.17089706659317017,0.09426353614324376,322
9,2004-11-03,0.003,9,dtr,dtr,0.19493980705738068,4.305335521697998,0.03376782685518265,0.6259175330145599,305
10,2004-11-17,0.003,9,dtr,dtr,0.7806749939918518,1.8594954013824463,0.21923620998859406,0.7580581181052742,328
11,2004-12-01,0.003,9,dtr,dtr,0.24138548970222473,1.149946928024292,0.21747566759586334,0.28758502472237896,307
12,2004-12-17,0.003,9,dtr,dtr,0.8699599504470825,1.5976122617721558,0.01049718540161848,0.026792647976903547,237
13,2005-01-01,0.003,9,dtr,dtr,0.23954199254512787,1.4250354766845703,0.041500747203826904,0.08427665092341989,224
14,2005-01-12,0.003,9,dtr,dtr,0.7770629525184631,1.3407779932022095,0.008892209269106388,0.01598539679584086,279
15,2005-01-26,0.003,9,dtr,dtr,0.2386569231748581,2.018606662750244,0.07204826176166534,0.29358030155733345,296
