conditional_slope,method,penalty_lambda,seed,intercept,score_slope,directional_gain,volatility,derivative_bound,jacobian_bound,residual_bound,separated_bound,mean_abs_model_derivative,mean_abs_remainder,jacobian_bound_holds,residual_bound_holds,derivative_bound_holds
0.0,dtr,0.5,78,1.0990782704127238,0.014496285383752711,0.0002101422899272025,3.328892157722452e-08,4.0433344463809685e-08,8.516746219494189e-05,8.516746219494189e-05,0.00017033492438988377,0.0006300963524496191,0.0,True,True,True
0.0,dtr,0.5,79,0.7171294181223087,0.010142024626453926,0.00010286066352359791,1.1139040892100186e-07,1.3481826379128506e-07,4.168785671378871e-05,4.168785671378871e-05,8.337571342757742e-05,0.0011532227041130222,0.0,True,True,True
0.0,dtr,0.5,80,1.0577080835034562,-0.00853340796363418,7.281905147381522e-05,2.232542957469188e-09,2.7218137711894706e-09,2.9512449948157114e-05,2.9512449948157114e-05,5.902489989631423e-05,0.0001631020391737114,0.0,True,True,True
0.0,dtr,0.5,81,1.016890741603221,0.0027863383777280756,7.763681555200323e-06,3.8623102700213253e-11,4.697222680298083e-11,3.14650161838033e-06,3.14650161838033e-06,6.29300323676066e-06,2.1460356635974565e-05,0.0,True,True,True
0.0,dtr,0.5,82,0.9772829708542983,-0.024640217717301197,0.0006071403291560038,1.8373160592636475e-08,2.3850017613250124e-08,0.0002460647071483395,0.0002460647071483395,0.000492129414296679,0.00046428514949429486,0.0,True,True,True
0.0,dtr,0.5,83,0.7167238971154477,-0.0043827348978692175,1.92083651850007e-05,2.3274278753775526e-08,2.815937419909626e-08,7.784857185514176e-06,7.784857185514176e-06,1.5569714371028352e-05,0.000527160235074247,0.0,True,True,True
0.0,dtr,0.5,84,0.8250288066056151,0.0023928360173008268,5.725664205692082e-06,2.3832743915340955e-09,2.883461368993982e-09,2.3205242978371498e-06,2.3205242978371498e-06,4.6410485956742995e-06,0.00016869103534587133,0.0,True,True,True
0.0,dtr,0.5,85,1.0168762928721051,0.002832579858618987,8.023508655453961e-06,4.0045753989740994e-11,4.871007533719914e-11,3.25180557574055e-06,3.25180557574055e-06,6.5036111514811e-06,2.185157409157006e-05,0.0,True,True,True
0.0,dtr,0.5,86,1.0574794571030812,-0.00428091066035618,1.8326196081951186e-05,6.553779498492505e-10,7.941950944790149e-10,7.427327514739469e-06,7.427327514739469e-06,1.4854655029478937e-05,8.844166169346971e-05,0.0,True,True,True
0.0,dtr,0.5,87,1.0165383764578604,0.010357514037390927,0.0001072780970347501,1.0018264197942868e-09,1.258546421179556e-09,4.3478175081833776e-05,4.3478175081833776e-05,8.695635016366755e-05,0.00010882494014936943,0.0,True,True,True
0.0,dtr,0.5,88,1.0990371582223797,-0.02090016693985278,0.0004368169781137151,3.3424655568398345e-08,4.11618889337077e-08,0.0001770352530302031,0.0001770352530302031,0.0003540705060604062,0.0006301761255752761,0.0,True,True,True
0.0,dtr,0.5,89,0.7523598204729279,0.00359830183525552,1.2947776097603243e-05,1.1098345972052183e-08,1.3427727613182588e-08,5.247535998980519e-06,5.247535998980519e-06,1.0495071997961038e-05,0.0003640271921023787,0.0,True,True,True
0.0,dtr,0.5,90,0.9764801699841457,-0.03000012689953505,0.0009000076139882064,3.4998181085430805e-08,4.592929532897348e-08,0.0003647593469456052,0.0003647593469456052,0.0007295186938912104,0.0006399163412244291,0.0,True,True,True
0.0,dtr,0.5,91,0.8620499053452355,-0.004634493845295037,2.147853320207758e-05,6.026020753085896e-09,7.29254989860071e-09,8.704921627743006e-06,8.704921627743006e-06,1.7409843255486013e-05,0.0002682306536267695,0.0,True,True,True
0.0,dtr,0.5,92,0.8621611467961067,-0.002330069377690662,5.429223304851749e-06,1.4704304629296101e-09,1.7790771013786197e-09,2.200381326024576e-06,2.200381326024576e-06,4.400762652049152e-06,0.0001325031012041349,0.0,True,True,True
0.0,dtr,0.5,93,1.2274358287084453,0.011087396604250632,0.00012293036345994843,8.063598240914286e-08,9.75998930993897e-08,4.982179972537906e-05,4.982179972537906e-05,9.964359945075812e-05,0.0009811525962338153,0.0,True,True,True
0.0,dtr,0.5,94,1.0571840183806422,-0.010905840737175154,0.0001189373621846291,3.2390320920358666e-09,3.974475340298254e-09,4.8203497263376186e-05,4.8203497263376186e-05,9.640699452675237e-05,0.0001962865562285849,0.0,True,True,True
0.0,dtr,0.5,95,0.8999262754996398,0.002720035138833501,7.398591156488984e-06,9.488663706347096e-10,1.1481974055707041e-09,2.9985360530447864e-06,2.9985360530447864e-06,5.997072106089573e-06,0.00010643861810952484,0.0,True,True,True
0.0,dtr,0.5,96,0.9776298662200736,-0.008829757703022518,7.796462109408548e-05,1.002621879875042e-09,1.2392532914523908e-09,3.159787076591647e-05,3.159787076591647e-05,6.319574153183293e-05,0.00010912663261374309,0.0,True,True,True
0.0,dtr,0.5,97,1.1838371545365696,-0.01932359460322582,0.000373401308389818,1.2101077096525178e-07,1.4687193291893232e-07,0.0001513338501586158,0.0001513338501586158,0.0003026677003172316,0.0012014391449389917,0.0,True,True,True
0.0,dtr,0.5,98,0.6466267609245362,0.005342268282197026,2.8539830398968364e-05,5.179830398236387e-08,6.267054368998797e-08,1.1566757587900195e-05,1.1566757587900195e-05,2.313351517580039e-05,0.0007864339892633709,0.0,True,True,True
0.0,dtr,0.5,99,1.0571511534823204,0.004278605261180496,1.830646298100142e-05,8.694407179024202e-10,1.0531532765892076e-09,7.419329990158813e-06,7.419329990158813e-06,1.4838659980317625e-05,0.00010187201724996688,0.0,True,True,True
0.0,standard,0.0,0,1.142618019548239,-0.29811722160147136,0.08887387781538078,3.905053279045634e-05,8.592776305946847e-05,0.03601922598055554,0.03601922598055554,0.07203845196111108,0.023548532074502252,0.0,True,True,True
0.0,standard,0.0,1,0.8310537288810685,-0.5524593063862284,0.3052112852127526,0.002835641715740277,0.004043882911676616,0.12369747471502097,0.12369747471502097,0.24739494943004195,0.18070038001359792,0.0,True,True,True
0.0,standard,0.0,2,0.9025054927727608,0.7280309052729834,0.5300289990325998,0.0019081979651782678,0.0027639259899264828,0.21481266218698603,0.21481266218698603,0.42962532437397205,0.14341977203548964,0.0,True,True,True
0.0,standard,0.0,3,1.0323832998103566,0.3403909866934741,0.11586602382215687,0.00017516810025971013,0.00024528320094748245,0.04695873071036896,0.04695873071036896,0.09391746142073792,0.04419290835590925,0.0,True,True,True
0.0,standard,0.0,4,1.1425961354896919,0.2080089257664173,0.043267713198498904,5.82009559075665e-05,7.52133980285864e-05,0.017535743659076435,0.017535743659076435,0.03507148731815287,0.025990474449143357,0.0,True,True,True
