lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.03,2,dtr,dtr,0.5593295097351074,0.15002079338862978,0.4439907670021057,0.07038933544641049,0.4316045343875885,0.14941884577274323,0.0727440977934748,0.17137846105046636,0.6204521642079792,sensor_only_k1,subspace_ablation
0.03,3,dtr,dtr,0.4401228725910187,0.11778776070167278,0.47685739398002625,0.12363256263406767,0.28889045119285583,0.17712540924549103,0.0664129201322794,0.18343024603836514,0.9215714700571026,sensor_only_k1,subspace_ablation
0.03,4,dtr,dtr,0.42974352836608887,0.12721739801867255,0.3912421762943268,0.06085029530015236,0.2750962972640991,0.24709954857826233,0.0657205583062023,0.15966782669647703,0.749281362641224,sensor_only_k1,subspace_ablation
0.03,5,dtr,dtr,0.489592045545578,0.13919708975430192,0.45513954758644104,0.06546919477887869,0.34544211626052856,0.31688377261161804,0.0586270444560796,0.13584459206550945,0.6811374950168925,sensor_only_k1,subspace_ablation
0.03,6,dtr,dtr,0.627697229385376,0.15533168726953966,0.48376330733299255,0.07523170453838017,0.42745158076286316,0.14630205929279327,0.07548581236042082,0.1756308332273227,0.6280692518051391,sensor_only_k1,subspace_ablation
0.03,7,dtr,dtr,0.46639931201934814,0.15646152660764498,0.35287559032440186,0.04681737566096212,0.30169734358787537,0.1810206025838852,0.06696105990558862,0.15999350916906246,0.7104765999585979,sensor_only_k1,subspace_ablation
0.03,8,dtr,dtr,0.5625137686729431,0.13908186945421944,0.38795769214630127,0.057097679737044424,0.3689092993736267,0.15278224647045135,0.0711190338130109,0.16339855088135216,0.6941159495681875,sensor_only_k1,subspace_ablation
0.03,9,dtr,dtr,0.4155808687210083,0.13761757982188258,0.36476585268974304,0.05551761546373655,0.30013179779052734,0.15177863836288452,0.06358262277208268,0.15957006890720057,0.5809815683072936,sensor_only_k1,subspace_ablation
0.08,0,dtr,dtr,0.5830623507499695,0.11875703252595046,0.4386817514896393,0.04810576383665165,0.4004872441291809,0.4041712284088135,0.06840094630606472,0.1576036441237491,0.7768517572034052,sensor_only_k1,subspace_ablation
0.08,1,dtr,dtr,0.40487319231033325,0.11416799939911941,0.4086669385433197,0.05447108410601383,0.2576281726360321,0.27658188343048096,0.06982398624531924,0.165183524672345,0.7741761434651631,sensor_only_k1,subspace_ablation
0.08,2,dtr,dtr,0.5219873785972595,0.12429261043153961,0.5853155255317688,0.1364722005925346,0.40067511796951294,0.21519096195697784,0.06361853741109372,0.16728914007219525,0.5319768575768355,sensor_only_k1,subspace_ablation
0.08,3,dtr,dtr,0.4252348244190216,0.09674205944455903,0.6358925700187683,0.28944971280327036,0.26236602663993835,0.28007006645202637,0.06737680714577436,0.198982142506349,1.1727641477769895,sensor_only_k1,subspace_ablation
0.08,4,dtr,dtr,0.41872215270996094,0.08786221701523353,0.38740062713623047,0.0592227109094796,0.2593357264995575,0.26033005118370056,0.06393240180332213,0.16392952958332227,0.8718414999921733,sensor_only_k1,subspace_ablation
0.08,5,dtr,dtr,0.5085509419441223,0.11272769467584018,0.5582298636436462,0.09520615238549758,0.3550613522529602,0.703761100769043,0.04171071283053607,0.09476400146023375,0.4505401936951705,sensor_only_k1,subspace_ablation
0.08,6,dtr,dtr,0.6581496596336365,0.09466925407278126,0.48767274618148804,0.06510233109332988,0.468321830034256,0.2833404541015625,0.05644958345219493,0.12806646738195349,0.47719558592248856,sensor_only_k1,subspace_ablation
0.08,7,dtr,dtr,0.46911758184432983,0.12761968250932365,0.40703922510147095,0.04605544724836714,0.33741506934165955,0.2752361297607422,0.052933381171897054,0.12505465470124522,0.5187966803833549,sensor_only_k1,subspace_ablation
0.08,8,dtr,dtr,0.7392792105674744,0.09627640822838093,0.47155824303627014,0.06555114416789583,0.5096306204795837,0.3520142734050751,0.06441686551552266,0.14467875640796518,0.48539974421051457,sensor_only_k1,subspace_ablation
0.08,9,dtr,dtr,0.43322548270225525,0.09627333509510962,0.4373900890350342,0.07554955364013713,0.33130306005477905,0.32734352350234985,0.056906256917864086,0.15536424736333865,0.6490343871415848,sensor_only_k1,subspace_ablation
0.0,0,standard,standard,0.576192319393158,0.23108948674695245,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512,sensor_only_k1,subspace_ablation
0.0,1,standard,standard,0.5339024662971497,0.2081371701996902,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611,sensor_only_k1,subspace_ablation
0.0,2,standard,standard,0.5773881673812866,0.18777722983524717,0.5285694599151611,0.10246372028891153,0.46604079008102417,0.17984828352928162,0.08561341818422079,0.19299958318535404,0.7848976348693673,sensor_only_k1,subspace_ablation
0.0,3,standard,standard,0.5038521885871887,0.15831243745211898,0.47765278816223145,0.08124698457713067,0.3648114502429962,0.14974942803382874,0.07398082152940333,0.18254650321786087,0.6974579533871162,sensor_only_k1,subspace_ablation
0.0,4,standard,standard,0.42038848996162415,0.166517213295246,0.3967437148094177,0.062259327435847125,0.29537326097488403,0.15059009194374084,0.07047706849407405,0.16766466225241103,0.7042569870277824,sensor_only_k1,subspace_ablation
0.0,5,standard,standard,0.5110085010528564,0.17140996373932937,0.4098236560821533,0.05159957392145803,0.3448408842086792,0.15880370140075684,0.06871336433105171,0.17628226476196238,0.7731838906309302,sensor_only_k1,subspace_ablation
0.0,6,standard,standard,0.6695612668991089,0.19803526977012897,0.5947054624557495,0.10635126380949697,0.49238067865371704,0.2506366968154907,0.09089135467074812,0.20649662264369634,0.7599386958657647,sensor_only_k1,subspace_ablation
0.0,7,standard,standard,0.4026200473308563,0.18530828377296185,0.38039344549179077,0.04421155169237126,0.2742616534233093,0.1665870100259781,0.07861695608589798,0.20045095383724698,0.8470168811026607,sensor_only_k1,subspace_ablation
0.0,8,standard,standard,0.5816845893859863,0.15275773015515556,0.42704254388809204,0.05600211938302504,0.42732974886894226,0.13034212589263916,0.07436683275736869,0.17501667214841127,0.7978522852910875,sensor_only_k1,subspace_ablation
0.0,9,standard,standard,0.4091055989265442,0.16789630034874226,0.3779805898666382,0.0507212284984188,0.3001631498336792,0.13950321078300476,0.07460477172862738,0.18175412147450187,0.746667945151965,sensor_only_k1,subspace_ablation
0.003,0,dtr,dtr,0.637921929359436,0.2362209418724323,0.46157512068748474,0.09487091087701788,0.46945086121559143,0.14820607006549835,0.08878079273272306,0.19580920929536866,0.9002062296795961,sensor_only_k2,subspace_ablation
0.003,1,dtr,dtr,0.5387662649154663,0.2580858329246784,0.449543833732605,0.09157188427228721,0.36293816566467285,0.1815047413110733,0.09077866661828012,0.21731492363631522,0.799372334786868,sensor_only_k2,subspace_ablation
0.003,2,dtr,dtr,0.5915716886520386,0.2060695582422717,0.5272789597511292,0.0969158530480246,0.46858370304107666,0.1792338341474533,0.08451349809765815,0.19137190500878887,0.7599706408015576,sensor_only_k2,subspace_ablation
0.003,3,dtr,dtr,0.49474507570266724,0.1804436108161663,0.4617387354373932,0.07947331925090445,0.3605736494064331,0.14716537296772003,0.07329074991866946,0.18229082587607465,0.6789664711379336,sensor_only_k2,subspace_ablation
0.003,4,dtr,dtr,0.4374604821205139,0.19079516180630388,0.39264294505119324,0.060343127597074386,0.3037002384662628,0.15339155495166779,0.066918382816948,0.15997588910341023,0.7013582673746992,sensor_only_k2,subspace_ablation
0.003,5,dtr,dtr,0.5183603167533875,0.17612830523786874,0.40845370292663574,0.05287501506713539,0.3550349771976471,0.14969502389431,0.0665607527596876,0.16595862049683316,0.7497569173949559,sensor_only_k2,subspace_ablation
0.003,6,dtr,dtr,0.6433925032615662,0.2101762031686717,0.5499882102012634,0.08989538704219405,0.45333725214004517,0.22701187431812286,0.08862070622853935,0.2018482019231517,0.7464201142791203,sensor_only_k2,subspace_ablation
0.003,7,dtr,dtr,0.4074399471282959,0.1814137310817324,0.37660905718803406,0.04364931683077371,0.2825709879398346,0.16491536796092987,0.07630552274640649,0.1927500221992423,0.8213520105421256,sensor_only_k2,subspace_ablation
