basis,dataset,deploy_mse,initial_risk,lambda,max_hazard,mean_gain,mean_hazard,method,seed,terminal_risk,val_directional_gain,val_mse,volatility
random_control,Air Quality,0.3992705345153808,0.2931016981601715,0.01,0.6300640852232271,0.0691276611993089,0.1577563598129242,dtr,4,0.1450700312852859,0.0575246449174552,0.3998120129108429,0.0633797839923121
random_control,Air Quality,0.4643196165561676,0.3901439011096954,0.01,0.7682149589165286,0.0675313883461058,0.1642473782612308,dtr,5,0.158842846751213,0.08278722351995,0.5400717854499817,0.0656446703843502
random_control,Air Quality,0.6652278304100037,0.5111238956451416,0.01,0.7456385422953749,0.0885190281551331,0.2045384649064346,dtr,6,0.274884283542633,0.0306614672315531,0.6707487106323242,0.1187571966125916
random_control,Air Quality,0.410574734210968,0.3091328144073486,0.01,0.8233349151453333,0.0775787892285734,0.1867831072905164,dtr,7,0.150513619184494,0.0943385699699665,0.431184321641922,0.0447294061057735
random_control,Air Quality,0.4807978868484497,0.4597857892513275,0.01,0.7595403116019736,0.0735262257745489,0.1717814339128018,dtr,8,0.1508304476737976,0.0281868026174347,0.6077485084533691,0.0684164868808603
random_control,Air Quality,0.4167782068252563,0.3332920670509338,0.01,0.7165760217314374,0.0723293232731521,0.1762976595276583,dtr,9,0.1434693187475204,0.0383178912360092,0.4355632364749908,0.0596329673947549
random_control,Air Quality,0.5502161383628845,0.6063246130943298,0.03,0.8383608339845915,0.0804298289469443,0.1746468530012443,dtr,0,0.1896379888057708,0.0451760818218362,0.7358756065368652,0.1382897182149813
random_control,Air Quality,0.6426663398742676,0.5571980476379395,0.03,0.8428943534243899,0.0909347129636444,0.219018905543035,dtr,1,0.2192723900079727,0.0475541772513554,0.7525582909584045,0.2125823844947973
random_control,Air Quality,0.6510249972343445,0.5503894686698914,0.03,0.6704352201890198,0.0781123672961257,0.1764699499349886,dtr,2,0.2634934186935425,0.026538683833747,0.6333057284355164,0.1295392292423522
random_control,Air Quality,0.5850959420204163,0.449315994977951,0.03,0.6293853764528858,0.0705590221798047,0.1723828466608477,dtr,3,0.2153929322957992,0.0259657099329192,0.5656989812850952,0.1115600740146977
random_control,Air Quality,0.45343017578125,0.3454830646514892,0.03,0.7094935196962966,0.0724785063415765,0.1690246429085257,dtr,4,0.1597802639007568,0.0349550136204423,0.4437192678451538,0.0749052761994111
random_control,Air Quality,0.55436110496521,0.4500461220741272,0.03,0.6954550091428987,0.0630162608809769,0.1502709684153194,dtr,5,0.2011269479990005,0.0391591141963827,0.5710382461547852,0.0754467635988876
random_control,Air Quality,0.7414929270744324,0.5255271792411804,0.03,0.7561291467541519,0.0856811109231785,0.1995436942512066,dtr,6,0.3106100261211395,0.0169438446390217,0.6465393900871277,0.1282670567693457
