block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs,subspace,source
4,2004-08-25,0.0,1,standard,standard,0.44631636142730713,1.578414797782898,0.17478039860725403,0.43544670949268705,166,sensor_residual_target_orth_k3,subspace_ablation
5,2004-09-08,0.0,1,standard,standard,0.4142194390296936,1.030644178390503,0.16940158605575562,0.17994301011498692,237,sensor_residual_target_orth_k3,subspace_ablation
6,2004-09-22,0.0,1,standard,standard,0.24140194058418274,1.0603092908859253,0.054374054074287415,0.06113034524597238,201,sensor_residual_target_orth_k3,subspace_ablation
7,2004-10-07,0.0,1,standard,standard,0.19944420456886292,2.3673222064971924,0.005534748081117868,0.03101791505915489,116,sensor_residual_target_orth_k3,subspace_ablation
8,2004-10-20,0.0,1,standard,standard,0.26728948950767517,0.7426848411560059,0.2417249083518982,0.13333081187048337,322,sensor_residual_target_orth_k3,subspace_ablation
9,2004-11-03,0.0,1,standard,standard,0.2477637678384781,4.305335521697998,0.04265890643000603,0.7907218189751611,305,sensor_residual_target_orth_k3,subspace_ablation
10,2004-11-17,0.0,1,standard,standard,0.9240242838859558,1.8594954013824463,0.21653863787651062,0.7487306605705648,328,sensor_residual_target_orth_k3,subspace_ablation
11,2004-12-01,0.0,1,standard,standard,0.3176860511302948,1.149946928024292,0.23048661649227142,0.3047904164859691,307,sensor_residual_target_orth_k3,subspace_ablation
12,2004-12-17,0.0,1,standard,standard,0.808178722858429,1.5976122617721558,0.010270826518535614,0.02621489750009962,237,sensor_residual_target_orth_k3,subspace_ablation
13,2005-01-01,0.0,1,standard,standard,0.2814019024372101,1.4250354766845703,0.06879080832004547,0.1396952905704252,224,sensor_residual_target_orth_k3,subspace_ablation
14,2005-01-12,0.0,1,standard,standard,0.7839218974113464,1.3407779932022095,0.008678670972585678,0.015601522069359698,279,sensor_residual_target_orth_k3,subspace_ablation
15,2005-01-26,0.0,1,standard,standard,0.20080718398094177,2.018606662750244,0.09262387454509735,0.37742125008249144,296,sensor_residual_target_orth_k3,subspace_ablation
16,2005-02-11,0.0,1,standard,standard,0.1700272262096405,1.3082793951034546,0.0578598752617836,0.09903267178993536,281,sensor_residual_target_orth_k3,subspace_ablation
17,2005-02-23,0.0,1,standard,standard,0.22736789286136627,0.8407312631607056,0.0769021213054657,0.0543566538725523,331,sensor_residual_target_orth_k3,subspace_ablation
18,2005-03-09,0.0,1,standard,standard,0.4190274178981781,2.808095932006836,0.032207928597927094,0.2539724891679814,320,sensor_residual_target_orth_k3,subspace_ablation
19,2005-03-23,0.0,1,standard,standard,0.17603157460689545,1.157148838043213,0.1397060751914978,0.18706551728537277,281,sensor_residual_target_orth_k3,subspace_ablation
0,2004-06-30,0.003,1,dtr,dtr,0.3817405104637146,0.0,0.0,0.0,332,sensor_residual_target_orth_k3,subspace_ablation
1,2004-07-14,0.003,1,dtr,dtr,0.5318331122398376,0.589765727519989,0.08041483908891678,0.02797017989944339,213,sensor_residual_target_orth_k3,subspace_ablation
2,2004-07-31,0.003,1,dtr,dtr,1.3860504627227783,2.501310348510742,0.06487012654542923,0.4058634146603498,195,sensor_residual_target_orth_k3,subspace_ablation
3,2004-08-11,0.003,1,dtr,dtr,1.1574528217315674,1.4069782495498657,0.007838528603315353,0.015517055551580112,220,sensor_residual_target_orth_k3,subspace_ablation
4,2004-08-25,0.003,1,dtr,dtr,0.48819294571876526,1.578414797782898,0.18204279243946075,0.4535401886383694,166,sensor_residual_target_orth_k3,subspace_ablation
5,2004-09-08,0.003,1,dtr,dtr,0.42074456810951233,1.030644178390503,0.19080927968025208,0.20268284933434014,237,sensor_residual_target_orth_k3,subspace_ablation
6,2004-09-22,0.003,1,dtr,dtr,0.25584879517555237,1.0603092908859253,0.05174172669649124,0.05817093594415246,201,sensor_residual_target_orth_k3,subspace_ablation
7,2004-10-07,0.003,1,dtr,dtr,0.22109660506248474,2.3673222064971924,0.006080769468098879,0.03407793599482107,116,sensor_residual_target_orth_k3,subspace_ablation
8,2004-10-20,0.003,1,dtr,dtr,0.2624545395374298,0.7426848411560059,0.2687014043331146,0.14821052838426635,322,sensor_residual_target_orth_k3,subspace_ablation
9,2004-11-03,0.003,1,dtr,dtr,0.26654496788978577,4.305335521697998,0.04442812502384186,0.823515902597017,305,sensor_residual_target_orth_k3,subspace_ablation
10,2004-11-17,0.003,1,dtr,dtr,0.9077889323234558,1.8594954013824463,0.22531475126743317,0.7790760309897459,328,sensor_residual_target_orth_k3,subspace_ablation
11,2004-12-01,0.003,1,dtr,dtr,0.3373897671699524,1.149946928024292,0.24241027235984802,0.3205579959368822,307,sensor_residual_target_orth_k3,subspace_ablation
12,2004-12-17,0.003,1,dtr,dtr,0.8586266040802002,1.5976122617721558,0.010589364916086197,0.027027923737721737,237,sensor_residual_target_orth_k3,subspace_ablation
13,2005-01-01,0.003,1,dtr,dtr,0.27975401282310486,1.4250354766845703,0.06447169184684753,0.13092434797699332,224,sensor_residual_target_orth_k3,subspace_ablation
14,2005-01-12,0.003,1,dtr,dtr,0.7531028985977173,1.3407779932022095,0.006606521550565958,0.011876448836283809,279,sensor_residual_target_orth_k3,subspace_ablation
15,2005-01-26,0.003,1,dtr,dtr,0.22946618497371674,2.018606662750244,0.09382116794586182,0.38229994873606615,296,sensor_residual_target_orth_k3,subspace_ablation
16,2005-02-11,0.003,1,dtr,dtr,0.1661120355129242,1.3082793951034546,0.0566263310611248,0.09692134373384277,281,sensor_residual_target_orth_k3,subspace_ablation
17,2005-02-23,0.003,1,dtr,dtr,0.2714746594429016,0.8407312631607056,0.07912073284387589,0.05592483297377616,331,sensor_residual_target_orth_k3,subspace_ablation
18,2005-03-09,0.003,1,dtr,dtr,0.3953513503074646,2.808095932006836,0.0319288931787014,0.25177218250214567,320,sensor_residual_target_orth_k3,subspace_ablation
19,2005-03-23,0.003,1,dtr,dtr,0.18248623609542847,1.157148838043213,0.14204543828964233,0.19019790911209092,281,sensor_residual_target_orth_k3,subspace_ablation
0,2004-06-30,0.01,1,dtr,dtr,0.44939908385276794,0.0,0.0,0.0,332,sensor_residual_target_orth_k3,subspace_ablation
1,2004-07-14,0.01,1,dtr,dtr,0.6685973405838013,0.589765727519989,0.1002902016043663,0.03488330030635093,213,sensor_residual_target_orth_k3,subspace_ablation
2,2004-07-31,0.01,1,dtr,dtr,1.785516619682312,2.501310348510742,0.07416802644729614,0.4640362224580823,195,sensor_residual_target_orth_k3,subspace_ablation
3,2004-08-11,0.01,1,dtr,dtr,1.4989856481552124,1.4069782495498657,0.005350958090275526,0.01059269132549492,220,sensor_residual_target_orth_k3,subspace_ablation
4,2004-08-25,0.01,1,dtr,dtr,0.6465810537338257,1.578414797782898,0.18606017529964447,0.4635490692747517,166,sensor_residual_target_orth_k3,subspace_ablation
5,2004-09-08,0.01,1,dtr,dtr,0.511353611946106,1.030644178390503,0.21823056042194366,0.23181048569687146,237,sensor_residual_target_orth_k3,subspace_ablation
6,2004-09-22,0.01,1,dtr,dtr,0.30354776978492737,1.0603092908859253,0.05112367123365402,0.05747608351007095,201,sensor_residual_target_orth_k3,subspace_ablation
7,2004-10-07,0.01,1,dtr,dtr,0.2748051881790161,2.3673222064971924,0.004914096090942621,0.02753964822019462,116,sensor_residual_target_orth_k3,subspace_ablation
8,2004-10-20,0.01,1,dtr,dtr,0.3298724889755249,0.7426848411560059,0.2670017182826996,0.14727301423824024,322,sensor_residual_target_orth_k3,subspace_ablation
9,2004-11-03,0.01,1,dtr,dtr,0.2860594391822815,4.305335521697998,0.04077071323990822,0.7557224324742343,305,sensor_residual_target_orth_k3,subspace_ablation
10,2004-11-17,0.01,1,dtr,dtr,0.8990843296051025,1.8594954013824463,0.22836022078990936,0.7896064214534169,328,sensor_residual_target_orth_k3,subspace_ablation
